OAT,OAH,CDU1,CDU2,CDU3,CDU4,Fan,SAT
26.63333333333333,63.0,1.0,1.0,1.0,1.0,1.0,14.93127027383306
26.76666666666667,62.5,1.0,1.0,1.0,1.0,1.0,15.01123734662087
26.9,62.0,1.0,1.0,1.0,1.0,1.0,15.09055034533197
27.01666666666667,61.33333333333334,0.0,0.0,0.0,0.0,0.0,23.97909006831266
27.13333333333333,60.66666666666667,0.0,0.0,0.0,0.0,0.0,29.73487308384516
27.25,60.0,0.0,0.0,0.0,0.0,0.0,32.67829691729092
27.36666666666667,59.33333333333333,1.0,0.0,0.0,0.0,1.0,24.36241582019632
27.48333333333333,58.66666666666666,1.0,0.0,0.0,0.0,1.0,24.44722380343421
27.6,58.0,1.0,0.0,0.0,0.0,1.0,24.53169822495046
27.7,57.66666666666667,1.0,1.0,1.0,0.0,1.0,18.16852218898293
27.8,57.33333333333334,1.0,1.0,1.0,0.0,1.0,18.234049828189
27.9,57.0,1.0,1.0,1.0,0.0,1.0,18.29928623334525
28.0,56.66666666666666,0.0,0.0,0.0,0.0,0.0,26.06757084462074
28.1,56.33333333333334,0.0,0.0,0.0,0.0,0.0,31.27391347322434
28.2,56.0,0.0,0.0,0.0,0.0,0.0,33.98482062295957
28.31666666666667,55.5,0.0,0.0,0.0,0.0,1.0,29.13100544232398
28.43333333333333,55.0,0.0,0.0,0.0,0.0,1.0,29.24771647842526
28.55,54.5,0.0,0.0,0.0,0.0,1.0,29.36442922947018
28.66666666666666,54.0,1.0,1.0,0.0,0.0,1.0,21.86647642446787
28.78333333333333,53.5,1.0,1.0,0.0,0.0,1.0,21.93845789005502
28.9,53.0,1.0,1.0,0.0,0.0,1.0,22.0100051578409
28.8,53.5,1.0,1.0,1.0,1.0,1.0,15.96620835325443
28.7,54.0,1.0,1.0,1.0,1.0,1.0,15.9326109145342
28.6,54.5,1.0,1.0,1.0,1.0,1.0,15.8984237904124
28.5,55.0,1.0,0.0,0.0,0.0,1.0,25.28219415614474
28.4,55.5,1.0,0.0,0.0,0.0,1.0,25.20800311354953
28.3,56.0,1.0,0.0,0.0,0.0,1.0,25.13359686574713
28.18333333333334,56.66666666666667,0.0,0.0,0.0,0.0,1.0,28.99738515026707
28.06666666666667,57.33333333333334,0.0,0.0,0.0,0.0,1.0,28.88061526080946
27.95,58.0,0.0,0.0,0.0,0.0,1.0,28.76384783257783
27.83333333333334,58.66666666666667,1.0,0.0,0.0,0.0,1.0,24.79986371732458
27.71666666666667,59.33333333333333,1.0,0.0,0.0,0.0,1.0,24.71559159487018
27.6,60.0,1.0,0.0,0.0,0.0,1.0,24.63099018208268
27.5,60.66666666666666,1.0,0.0,0.0,0.0,1.0,24.56278776838243
27.4,61.33333333333334,1.0,0.0,0.0,0.0,1.0,24.49429246159497
27.3,62.0,1.0,0.0,0.0,0.0,1.0,24.42550735813477
27.2,62.66666666666667,1.0,1.0,1.0,0.0,1.0,18.2083118258147
27.1,63.33333333333334,1.0,1.0,1.0,0.0,1.0,18.17583253243434
27.0,64.0,1.0,1.0,1.0,0.0,1.0,18.14271523061662
26.81666666666667,64.0,1.0,0.0,0.0,0.0,1.0,24.0325606926138
26.63333333333334,64.0,1.0,0.0,0.0,0.0,1.0,23.84765416797995
26.45,64.0,1.0,0.0,0.0,0.0,1.0,23.66272399400324
26.26666666666667,64.0,1.0,1.0,0.0,0.0,1.0,20.28042305358798
26.08333333333333,64.0,1.0,1.0,0.0,0.0,1.0,20.09225296775911
25.9,64.0,1.0,1.0,0.0,0.0,1.0,19.90402727202333
25.7,64.0,1.0,0.0,0.0,0.0,1.0,22.90594851178432
25.5,64.0,1.0,0.0,0.0,0.0,1.0,22.70407661347203
25.3,64.0,1.0,0.0,0.0,0.0,1.0,22.5021723231872
25.1,64.0,0.0,0.0,0.0,0.0,1.0,25.91527061723639
24.9,64.0,0.0,0.0,0.0,0.0,1.0,25.71550485171901
24.7,64.0,0.0,0.0,0.0,0.0,1.0,25.51573665287181
24.51666666666667,64.0,1.0,0.0,0.0,0.0,1.0,21.71104894409563
24.33333333333334,64.0,1.0,0.0,0.0,0.0,1.0,21.52580676371815
24.15,64.0,1.0,0.0,0.0,0.0,1.0,21.34053346550443
23.96666666666667,64.0,0.0,0.0,0.0,0.0,0.0,24.6734208901191
